Date,Monthly Return
1988-02-29,0.05609301046672699
1988-03-31,0.029147788792209806
1988-04-30,0.011059123485336997
1988-05-31,-0.021431712744502063
1988-06-30,-0.002635413605184933
1988-07-31,0.016765342486474877
1988-08-31,-0.05654626548680308
1988-09-30,0.04122344241647746
1988-10-31,0.06367447137978366
1988-11-30,0.03181817438270462
1988-12-31,0.007397551389816792
1989-01-31,0.03440598930147343
1989-02-28,-0.007657326820141974
1989-03-31,-0.0073145537764061075
1989-04-30,0.023238888636291977
1989-05-31,-0.025401590683747033
1989-06-30,-0.01567067430811997
1989-07-31,0.11102861265162889
1989-08-31,-0.02516890138986505
1989-09-30,0.028484311861749934
1989-10-31,-0.03391577902822618
1989-11-30,0.037559356464171634
1989-12-31,0.031102295322723572
1990-01-31,-0.04771801470668624
1990-02-28,-0.04378908407086246
1990-03-31,-0.06365565009839147
1990-04-30,-0.014789933917903175
1990-05-31,0.10235421228289598
1990-06-30,-0.00866612757948082
1990-07-31,0.008117456950966995
1990-08-31,-0.09608240407436597
1990-09-30,-0.10680943229724305
1990-10-31,0.08956659068488104
1990-11-30,-0.019186765115981164
1990-12-31,0.019023645645576792
1991-01-31,0.03469533749658016
1991-02-28,0.091744670462101
1991-03-31,-0.02993448997842041
1991-04-30,0.006187693892315549
1991-05-31,0.021803397307684547
1991-06-30,-0.06299831979196335
1991-07-31,0.0455455389520123
1991-08-31,-0.004148688832450564
1991-09-30,0.02339367229678313
1991-10-31,0.015343659912715468
1991-11-30,-0.045104075649713304
1991-12-31,0.07210335418003044
1992-01-31,-0.016945323246612465
1992-02-29,-0.017160848189016753
1992-03-31,-0.04661311123620926
1992-04-30,0.0111192922696286
1992-05-31,0.03606377278161155
1992-06-30,-0.03785222757114104
1992-07-31,0.00089228270149877
1992-08-31,0.020098900795858743
1992-09-30,-0.010645935791254724
1992-10-31,-0.02657992123215247
1992-11-30,0.014519073737889743
1992-12-31,0.007318213302306198
1993-01-31,0.0015337620731261659
1993-02-28,0.021439539523270712
1993-03-31,0.05539332799743302
1993-04-30,0.04328966942903034
1993-05-31,0.021499212729990447
1993-06-30,-0.008348444216834117
1993-07-31,0.018818452695165133
1993-08-31,0.04562188441654924
1993-09-30,-0.018461938806561662
1993-10-31,0.027875473830299757
1993-11-30,-0.05371250500566027
1993-12-31,0.05230943628133877
1994-01-31,0.06458226038667836
1994-02-28,-0.016019880671629294
1994-03-31,-0.04669649674690357
1994-04-30,0.02535239548936996
1994-05-31,0.004131694092100124
1994-06-30,-0.00668634004773061
1994-07-31,0.02045309813663021
1994-08-31,0.033870329911542374
1994-09-30,-0.02521472767086852
1994-10-31,0.023852937885905368
1994-11-30,-0.045180668647895605
1994-12-31,0.0017382622112798174
1995-01-31,-0.022172314085489586
1995-02-28,0.008807174830328002
1995-03-31,0.04378136022024193
1995-04-30,0.03445470808531015
1995-05-31,0.009111264131735464
1995-06-30,-0.0016144717985672186
1995-07-31,0.04653533099152618
1995-08-31,-0.02363514222834373
1995-09-30,0.025731196142918744
1995-10-31,-0.018400006975446415
1995-11-30,0.029689173010579273
1995-12-31,0.028380760261725202
1996-01-31,0.020560778552265457
1996-02-29,0.002424030110545816
1996-03-31,0.013703063581814723
1996-04-30,0.022582668154258467
1996-05-31,-0.0007257615037750131
1996-06-30,0.00373522121405534
1996-07-31,-0.0390221377841552
1996-08-31,0.010541638202960613
1996-09-30,0.03523335536054173
1996-10-31,0.0024163345533723124
